,one,two,three
1114,619,660,659
1115,620,661,660
1116,621,622,670
1117,621,670,669
1118,622,623,671
1119,622,671,670
1120,623,624,672
1121,623,672,671
1122,624,625,673
1123,624,673,672
1124,625,626,674
1125,625,674,673
1126,626,627,675
1127,626,675,674
1128,627,628,676
1129,627,676,675
1130,628,629,677
1131,628,677,676
1132,629,630,678
1133,629,678,677
1134,630,631,679
1135,630,679,678
1136,631,632,680
1137,631,680,679
1138,632,633,681
1139,632,681,680
1140,633,634,682
1141,633,682,681
1142,634,635,683
1143,634,683,682
1144,635,636,684
1145,635,684,683
1146,636,637,685
1147,636,685,684
1148,637,638,686
1149,637,686,685
1150,638,639,687
1151,638,687,686
1152,639,640,688
1153,639,688,687
1154,640,641,689
1155,640,689,688
1156,641,642,690
1157,641,690,689
1158,642,643,691
1159,642,691,690
1160,643,644,692
1161,643,692,691
1162,644,645,693
1163,644,693,692
1164,645,646,694
1165,645,694,693
1166,646,647,695
1167,646,695,694
1168,647,648,696
1169,647,696,695
1170,648,649,697
1171,648,697,696
1172,649,650,698
1173,649,698,697
1174,650,651,699
1175,650,699,698
1176,651,652,700
1177,651,700,699
1178,652,701,700
1179,657,658,702
1180,658,659,703
1181,658,703,702
1182,659,660,704
1183,659,704,703
1184,660,661,705
1185,660,705,704
1186,661,706,705
1187,662,663,708
1188,662,708,707
1189,663,664,709
1190,663,709,708
1191,664,665,710
1192,664,710,709
1193,665,666,711
1194,665,711,710
1195,666,667,712
1196,666,712,711
1197,667,668,713
1198,667,713,712
1199,668,669,714
1200,668,714,713
1201,669,670,715
1202,669,715,714
1203,670,671,716
1204,670,716,715
1205,671,672,717
1206,671,717,716
1207,672,673,718
1208,672,718,717
1209,673,674,719
1210,673,719,718
1211,674,675,720
1212,674,720,719
1213,675,676,721
1214,675,721,720
1215,676,677,722
1216,676,722,721
1217,677,678,723
1218,677,723,722
1219,678,679,724
1220,678,724,723
1221,679,680,725
1222,679,725,724
1223,680,681,726
1224,680,726,725
1225,681,682,727
1226,681,727,726
1227,682,683,728
1228,682,728,727
1229,683,684,729
1230,683,729,728
1231,684,685,730
1232,684,730,729
1233,685,686,731
1234,685,731,730
1235,686,687,732
1236,686,732,731
1237,687,688,733
1238,687,733,732
1239,688,689,734
1240,688,734,733
1241,689,690,735
1242,689,735,734
1243,690,691,736
1244,690,736,735
1245,691,692,737
1246,691,737,736
1247,692,693,738
1248,692,738,737
1249,693,694,739
1250,693,739,738
1251,694,695,740
1252,694,740,739
1253,695,696,741
1254,695,741,740
1255,696,697,742
1256,696,742,741
1257,697,698,743
1258,697,743,742
1259,698,699,744
1260,698,744,743
1261,699,700,745
1262,699,745,744
1263,700,701,746
1264,700,746,745
1265,701,747,746
1266,702,703,748
1267,703,704,749
1268,703,749,748
1269,704,705,750
1270,704,750,749
1271,705,706,751
1272,705,751,750
1273,706,752,751
1274,707,708,754
1275,707,754,753
1276,708,709,755
1277,708,755,754
1278,709,710,756
1279,709,756,755
1280,710,711,757
1281,710,757,756
1282,711,712,758
1283,711,758,757
1284,712,713,759
1285,712,759,758
1286,713,714,760
1287,713,760,759
1288,714,715,761
1289,714,761,760
1290,715,716,762
1291,715,762,761
1292,716,717,763
1293,716,763,762
1294,717,718,764
1295,717,764,763
1296,718,719,765
1297,718,765,764
1298,719,720,766
1299,719,766,765
1300,720,721,767
1301,720,767,766
1302,721,722,768
1303,721,768,767
1304,722,723,769
1305,722,769,768
1306,723,724,770
1307,723,770,769
1308,724,725,771
1309,724,771,770
1310,725,726,772
1311,725,772,771
1312,726,727,773
1313,726,773,772
1314,727,728,774
1315,727,774,773
1316,728,729,775
1317,728,775,774
1318,729,730,776
1319,729,776,775
1320,730,731,777
1321,730,777,776
1322,731,732,778
1323,731,778,777
1324,732,733,779
1325,732,779,778
1326,733,734,780
1327,733,780,779
1328,734,735,781
1329,734,781,780
1330,735,736,782
1331,735,782,781
1332,736,737,783
1333,736,783,782
1334,737,738,784
1335,737,784,783
1336,738,739,785
1337,738,785,784
1338,739,740,786
1339,739,786,785
1340,740,741,787
1341,740,787,786
1342,741,742,788
1343,741,788,787
1344,742,743,789
1345,742,789,788
1346,743,744,790
1347,743,790,789
